"Edition","Collector Number","Name"
"NEO","152","Kumano Faces Kakkazan // Etching of Kumano"
"NEO","359","Jugan Defends the Temple // Remnant of the Rising Star"
"NEO","224","Isshin, Two Heavens as One"
"NEO","162","The Shattered States Era // Nameless Conqueror"
"NEO","312","Selfless Samurai"
"NEO","346","Coiling Stalker"
"NEO","136","Crackling Emergence"
"NEO","190","Harmonious Emergence"
"NEO","182","Fade into Antiquity"
"NEO","53","Futurist Operative"
"NEO","108","Life of Toshiro Umezawa // Memory of Toshiro"
"NEO","166","Thundering Raiju"
"NEO","81","Suit Up"
"NEO","269","Jungle Hollow"
"NEO","317","Guardians of Oboro"
"NEO","322","Peerless Samurai"
"NEO","133","Ambitious Assault"
"NEO","169","Unstoppable Ogre"
"NEO","156","Peerless Samurai"
"NEO","157","Rabbit Battery"
"NEO","135","Bronzeplate Boar"
"NEO","12","The Fall of Lord Konda // Fragment of Konda"
"NEO","154","March of Reckless Joy"
"NEO","192","Historian's Wisdom"
"NEO","274","Scoured Barrens"
"NEO","314","Sky-Blessed Samurai"
"NEO","322","Peerless Samurai"
"NEO","150","Kami's Flare"
"NEO","274","Scoured Barrens"
"NEO","324","Upriser Renegade"
"NEO","191","Heir of the Ancient Fang"
"NEO","179","Coiling Stalker"
"NEO","258","Searchlight Companion"
"NEO","247","High-Speed Hoverbike"
"NEO","75","Reality Heist"
"NEO","66","The Modern Age // Vector Glider"
"NEO","3","Banishing Slash"
"NEO","330","Risona, Asari Commander"
"NEO","29","Michiko's Reign of Truth // Portrait of Michiko"
"NEO","310","Imperial Subduer"
"NEO","33","Repel the Vile"
"NEO","20","Intercessor's Arrest"
"NEO","32","Regent's Authority"
"NEO","10","Eiganjo Exemplar"
"NEO","164","Sokenzan Smelter"
"NEO","230","Oni-Cult Anvil"
"NEO","93","Dockside Chef"
"NEO","210","Tales of Master Seshiro // Seshiro's Living Legacy"
"NEO","320","Goro-Goro, Disciple of Ryusei"
"NEO","47","Awakened Awareness"
"NEO","218","Enthusiastic Mechanaut"
"NEO","347","Fang of Shigeki"
"NEO","317","Guardians of Oboro"
"NEO","323","Reinforced Ronin"
"NEO","189","Greater Tanuki"
"NEO","180","Commune with Spirits"
"NEO","186","Geothermal Kami"
"NEO","254","Patchwork Automaton"
"NEO","137","Dragonspark Reactor"
"NEO","29","Michiko's Reign of Truth // Portrait of Michiko"
"NEO","123","Tatsunari, Toad Rider"
"NEO","79","Skyswimmer Koi"
"NEO","274","Scoured Barrens"
"NEO","318","Nezumi Bladeblesser"
"NEO","160","Scrapyard Steelbreaker"
"NEO","126","Undercity Scrounger"
"NEO","219","Gloomshrieker"
"NEO","275","Secluded Courtyard"
"NEO","256","Reito Sentinel"
"NEO","12","The Fall of Lord Konda // Fragment of Konda"
"NEO","42","The Wandering Emperor"
"NEO","150","Kami's Flare"
"NEO","92","Debt to the Kami"
"NEO","332","Covert Technician"
"NEO","100","Inkrise Infiltrator"
"NEO","76","Replication Specialist"
"NEO","331","Blade-Blizzard Kitsune"
"NEO","335","Moonsnare Specialist"
"NEO","228","Kotose, the Silent Spider"
"NEO","341","Inkrise Infiltrator"
"NEO","112","Mukotai Ambusher"
"NEO","64","Mnemonic Sphere"
"NEO","121","Return to Action"
"NEO","341","Inkrise Infiltrator"
"NEO","339","Dokuchi Shadow-Walker"
"NEO","342","Mukotai Ambusher"
"NEO","67","Moon-Circuit Hacker"
"NEO","70","Moonsnare Specialist"
"NEO","51","Disruption Protocol"
"NEO","339","Dokuchi Shadow-Walker"
"NEO","101","Invoke Despair"
"NEO","103","Kaito's Pursuit"
"NEO","64","Mnemonic Sphere"
"NEO","129","You Are Already Dead"
"NEO","49","Covert Technician"
"NEO","335","Moonsnare Specialist"
"NEO","91","Clawing Torment"
"NEO","335","Moonsnare Specialist"
"NEO","334","Moon-Circuit Hacker"
"NEO","342","Mukotai Ambusher"
"NEO","112","Mukotai Ambusher"
"NEO","74","The Reality Chip"
"NEO","80","Spell Pierce"
"NEO","251","Network Terminal"
"NEO","118","Okiba Salvage"
"NEO","104","Kami of Restless Shadows"
"NEO","92","Debt to the Kami"
"NEO","342","Mukotai Ambusher"
"NEO","38","Spirited Companion"
"NEO","38","Spirited Companion"
"NEO","265","Blossoming Sands"
"NEO","284","Plains"
"NEO","283","Plains"
"NEO","265","Blossoming Sands"
"NEO","162","The Shattered States Era // Nameless Conqueror"
